IPS,MaskS,PortS,IPD,MaskD,PortD,Cost
10.1.137.124,24,3000,10.1.137.124,24,3006,54
10.1.137.124,24,3000,10.1.137.40,24,3072,24
10.1.137.124,24,3000,10.1.137.40,24,3073,89
10.1.137.124,24,3000,10.1.138.36,24,3106,29
10.1.137.124,24,3000,10.1.137.247,24,3125,28
10.1.137.124,24,3000,10.1.137.228,24,3182,102
10.1.137.124,24,3001,10.1.137.124,24,3009,81
10.1.137.124,24,3001,10.1.137.60,24,3110,35
10.1.137.124,24,3001,10.1.137.89,24,3159,57
10.1.137.124,24,3001,10.1.137.27,24,3162,86
10.1.137.124,24,3001,10.1.137.147,24,3172,40
10.1.137.124,24,3001,10.1.137.228,24,3182,73
10.1.137.124,24,3001,10.1.137.177,24,3190,36
10.1.137.124,24,3002,10.1.137.166,24,3021,96
10.1.137.124,24,3002,10.1.137.209,24,3037,20
10.1.137.124,24,3002,10.1.137.45,24,3091,87
10.1.137.124,24,3002,10.1.137.45,24,3099,50
10.1.137.124,24,3002,10.1.137.159,24,3138,72
10.1.137.124,24,3002,10.1.137.95,24,3149,114
10.1.137.124,24,3002,10.1.137.147,24,3177,70
10.1.137.124,24,3002,10.1.137.228,24,3189,99
10.1.137.124,24,3002,10.1.137.177,24,3197,114
10.1.137.124,24,3003,10.1.137.124,24,3009,83
10.1.137.124,24,3003,10.1.137.166,24,3027,71
10.1.137.124,24,3003,10.1.137.91,24,3055,108
10.1.137.124,24,3003,10.1.137.40,24,3075,94
10.1.137.124,24,3003,10.1.137.67,24,3088,80
10.1.137.124,24,3003,10.1.138.36,24,3103,70
10.1.137.124,24,3003,10.1.138.36,24,3106,85
10.1.137.124,24,3003,10.1.137.60,24,3110,113
10.1.137.124,24,3003,10.1.137.60,24,3119,23
10.1.137.124,24,3003,10.1.137.89,24,3156,28
10.1.137.124,24,3003,10.1.137.177,24,3192,119
10.1.137.124,24,3004,10.1.137.166,24,3024,61
10.1.137.124,24,3004,10.1.137.209,24,3031,111
10.1.137.124,24,3004,10.1.137.114,24,3041,29
10.1.137.124,24,3004,10.1.137.60,24,3110,112
10.1.137.124,24,3004,10.1.137.95,24,3142,74
10.1.137.124,24,3004,10.1.137.89,24,3159,47
10.1.137.124,24,3004,10.1.137.27,24,3167,93
10.1.137.124,24,3004,10.1.137.228,24,3187,91
10.1.137.124,24,3005,10.1.137.114,24,3046,46
10.1.137.124,24,3005,10.1.137.91,24,3051,86
10.1.137.124,24,3005,10.1.137.91,24,3052,81
10.1.137.124,24,3005,10.1.137.40,24,3072,101
10.1.137.124,24,3005,10.1.137.228,24,3183,71
10.1.137.124,24,3005,10.1.137.228,24,3187,77
10.1.137.124,24,3005,10.1.137.177,24,3198,94
10.1.137.124,24,3006,10.1.137.166,24,3026,57
10.1.137.124,24,3006,10.1.137.40,24,3076,53
10.1.137.124,24,3006,10.1.137.60,24,3111,20
10.1.137.124,24,3006,10.1.137.147,24,3179,35
10.1.137.124,24,3006,10.1.137.177,24,3199,24
10.1.137.124,24,3007,10.1.137.87,24,3019,96
10.1.137.124,24,3007,10.1.137.166,24,3028,55
10.1.137.124,24,3007,10.1.137.204,24,3065,77
10.1.137.124,24,3007,10.1.137.67,24,3083,79
10.1.137.124,24,3007,10.1.137.67,24,3085,112
10.1.137.124,24,3007,10.1.137.60,24,3110,54
10.1.137.124,24,3008,10.1.137.87,24,3010,68
10.1.137.124,24,3008,10.1.137.209,24,3036,44
10.1.137.124,24,3008,10.1.137.114,24,3043,88
10.1.137.124,24,3008,10.1.137.91,24,3057,119
10.1.137.124,24,3008,10.1.137.40,24,3075,51
10.1.137.124,24,3008,10.1.137.67,24,3081,115
10.1.137.124,24,3008,10.1.137.67,24,3083,117
10.1.137.124,24,3008,10.1.137.45,24,3090,72
10.1.137.124,24,3008,10.1.137.60,24,3110,108
10.1.137.124,24,3008,10.1.137.159,24,3139,85
10.1.137.124,24,3008,10.1.137.95,24,3149,27
10.1.137.124,24,3008,10.1.137.177,24,3196,70
10.1.137.124,24,3009,10.1.137.87,24,3015,80
10.1.137.124,24,3009,10.1.137.166,24,3027,109
10.1.137.124,24,3009,10.1.137.209,24,3038,41
10.1.137.124,24,3009,10.1.137.114,24,3040,90
10.1.137.124,24,3009,10.1.137.91,24,3050,51
10.1.137.124,24,3009,10.1.137.67,24,3089,29
10.1.137.124,24,3009,10.1.137.95,24,3149,100
10.1.137.124,24,3009,10.1.137.27,24,3167,119
10.1.137.124,24,3009,10.1.137.147,24,3179,109
10.1.137.87,24,3010,10.1.137.204,24,3063,113
10.1.137.87,24,3010,10.1.137.60,24,3118,31
10.1.137.87,24,3010,10.1.137.89,24,3155,22
10.1.137.87,24,3010,10.1.137.89,24,3159,77
10.1.137.87,24,3010,10.1.137.27,24,3161,89
10.1.137.87,24,3010,10.1.137.228,24,3180,102
10.1.137.87,24,3011,10.1.137.166,24,3024,44
10.1.137.87,24,3011,10.1.137.166,24,3027,77
10.1.137.87,24,3011,10.1.137.209,24,3039,26
10.1.137.87,24,3011,10.1.137.45,24,3090,46
10.1.137.87,24,3011,10.1.137.45,24,3091,98
10.1.137.87,24,3011,10.1.137.45,24,3093,60
